Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_000.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_001.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_002.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_003.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_004.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_leave,raw\english\sound\vox\scripted\isa\vox_is0_a10_leave_005.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_000.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_001.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_002.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_003.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_004.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_strafe,raw\english\sound\vox\scripted\isa\vox_is0_a10_strafe_005.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_000.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_001.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_002.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_003.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_004.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_a10_used,raw\english\sound\vox\scripted\isa\vox_is0_a10_used_005.SN65.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,0,95,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,mature,,no,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_c4,raw\english\sound\vox\scripted\isa\vox_is0_attack_c4_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_c4,raw\english\sound\vox\scripted\isa\vox_is0_attack_c4_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_claymore,raw\english\sound\vox\scripted\isa\vox_is0_attack_claymore_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_claymore,raw\english\sound\vox\scripted\isa\vox_is0_attack_claymore_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_concusion,raw\english\sound\vox\scripted\isa\vox_is0_attack_concusion_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_concussion,raw\english\sound\vox\scripted\isa\vox_is0_attack_concussion_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_emp,raw\english\sound\vox\scripted\isa\vox_is0_attack_emp_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_emp,raw\english\sound\vox\scripted\isa\vox_is0_attack_emp_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_flash,raw\english\sound\vox\scripted\isa\vox_is0_attack_flash_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_flash,raw\english\sound\vox\scripted\isa\vox_is0_attack_flash_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_grenade,raw\english\sound\vox\scripted\isa\vox_is0_attack_grenade_000.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_grenade,raw\english\sound\vox\scripted\isa\vox_is0_attack_grenade_001.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_is0_attack_grenade,raw\english\sound\vox\scripted\isa\vox_is0_attack_grenade_002.SN60.pc.snd,,streamed,bus_voice,grp_voice,snp_voice,,80,0,83,83,75,900,3000,allon,default,rcurve3,default,2,1,reject,reject,0,0,20,60,0,1,3d,default,nonlooping,,1,0,75,175,97,0.5,no,yes,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
